Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Dec-18,EQ,"2,634.70","2,663.80","2,610.00","2,621.90","2,617.00","2,616.50","2,639.57","2,749.95","1,887.00",1026529,"2,70,95,92,779.75",43412
28-Dec-18,EQ,"2,605.00","2,633.00","2,601.10","2,587.45","2,622.90","2,621.90","2,621.94","2,749.95","1,887.00",597700,"1,56,71,30,870.50",30062
27-Dec-18,EQ,"2,641.00","2,645.00","2,581.35","2,622.30","2,597.00","2,587.45","2,601.33","2,749.95","1,887.00",587578,"1,52,84,85,811.95",26942
26-Dec-18,EQ,"2,598.00","2,628.00","2,575.20","2,599.80","2,626.00","2,622.30","2,608.55","2,749.95","1,887.00",753624,"1,96,58,62,435.30",48338
24-Dec-18,EQ,"2,610.00","2,623.10","2,578.20","2,608.05","2,600.00","2,599.80","2,595.80","2,749.95","1,887.00",504639,"1,30,99,40,111.50",47992
21-Dec-18,EQ,"2,609.40","2,616.30","2,578.10","2,628.45","2,602.95","2,608.05","2,601.37","2,749.95","1,887.00",747959,"1,94,57,15,619.00",59654
20-Dec-18,EQ,"2,607.70","2,633.95","2,592.00","2,613.75","2,625.95","2,628.45","2,621.39","2,749.95","1,887.00",493086,"1,29,25,70,755.20",31665
19-Dec-18,EQ,"2,645.00","2,651.00","2,584.65","2,639.30","2,613.00","2,613.75","2,618.40","2,749.95","1,887.00",841239,"2,20,27,00,293.20",49598
18-Dec-18,EQ,"2,601.80","2,645.00","2,582.15","2,613.15","2,643.40","2,639.30","2,618.64","2,749.95","1,887.00",739253,"1,93,58,38,177.35",61766
17-Dec-18,EQ,"2,604.70","2,635.00","2,600.20","2,591.70","2,612.75","2,613.15","2,619.11","2,749.95","1,887.00",592403,"1,55,15,67,240.55",30023
14-Dec-18,EQ,"2,595.00","2,609.60","2,568.00","2,596.85","2,589.20","2,591.70","2,586.24","2,749.95","1,887.00",586360,"1,51,64,69,941.60",41165
13-Dec-18,EQ,"2,625.00","2,625.00","2,567.20","2,586.35","2,604.00","2,596.85","2,592.95","2,749.95","1,887.00",1037801,"2,69,09,66,241.30",57321
12-Dec-18,EQ,"2,670.00","2,711.55","2,534.10","2,716.15","2,597.05","2,586.35","2,596.13","2,749.95","1,887.00",3413128,"8,86,09,33,458.65",164961
11-Dec-18,EQ,"2,668.50","2,749.95","2,666.10","2,690.45","2,725.00","2,716.15","2,714.53","2,749.95","1,887.00",840779,"2,28,23,18,013.65",48255
10-Dec-18,EQ,"2,623.10","2,707.00","2,623.10","2,692.55","2,684.00","2,690.45","2,682.12","2,742.60","1,887.00",1005187,"2,69,60,36,010.70",34024
07-Dec-18,EQ,"2,661.00","2,714.30","2,643.00","2,641.20","2,684.35","2,692.55","2,683.58","2,742.60","1,887.00",1179675,"3,16,57,49,499.25",60522
06-Dec-18,EQ,"2,671.00","2,681.00","2,621.15","2,671.65","2,642.00","2,641.20","2,645.38","2,742.60","1,887.00",515153,"1,36,27,74,136.00",38038
05-Dec-18,EQ,"2,696.00","2,713.95","2,646.60","2,704.05","2,673.05","2,671.65","2,684.93","2,742.60","1,887.00",447631,"1,20,18,57,404.40",29477
04-Dec-18,EQ,"2,688.00","2,718.85","2,681.80","2,667.90","2,704.00","2,704.05","2,703.98","2,742.60","1,887.00",915453,"2,47,53,64,669.40",61577
03-Dec-18,EQ,"2,738.60","2,742.60","2,652.45","2,722.20","2,675.00","2,667.90","2,691.90","2,742.60","1,887.00",983834,"2,64,83,87,132.20",50962
30-Nov-18,EQ,"2,661.00","2,734.55","2,657.05","2,655.30","2,730.00","2,722.20","2,701.52","2,734.55","1,887.00",1491828,"4,03,02,10,521.70",82889
29-Nov-18,EQ,"2,584.00","2,666.70","2,575.10","2,572.30","2,653.45","2,655.30","2,617.85","2,670.80","1,887.00",1048293,"2,74,42,75,397.00",59507
28-Nov-18,EQ,"2,595.00","2,595.35","2,547.75","2,588.75","2,572.35","2,572.30","2,565.65","2,670.80","1,887.00",644293,"1,65,30,27,941.45",52033
27-Nov-18,EQ,"2,575.00","2,602.80","2,542.00","2,558.60","2,591.00","2,588.75","2,572.88","2,670.80","1,887.00",1047598,"2,69,53,43,596.65",74661
26-Nov-18,EQ,"2,607.00","2,637.90","2,521.05","2,608.70","2,570.55","2,558.60","2,579.76","2,670.80","1,887.00",1129634,"2,91,41,82,269.65",64613
22-Nov-18,EQ,"2,580.00","2,619.70","2,575.60","2,601.80","2,607.30","2,608.70","2,602.32","2,670.80","1,887.00",1009204,"2,62,62,70,199.40",61731
21-Nov-18,EQ,"2,608.00","2,655.00","2,577.15","2,443.15","2,600.45","2,601.80","2,613.55","2,670.80","1,887.00",4485824,"11,72,39,38,808.65",197711
20-Nov-18,EQ,"2,520.10","2,520.10","2,437.55","2,528.60","2,438.25","2,443.15","2,468.72","2,670.80","1,887.00",541117,"1,33,58,64,778.10",34070
19-Nov-18,EQ,"2,545.50","2,545.60","2,490.00","2,477.05","2,522.05","2,528.60","2,517.04","2,670.80","1,887.00",947022,"2,38,36,92,453.60",50508
16-Nov-18,EQ,"2,463.00","2,496.80","2,442.05","2,461.80","2,472.90","2,477.05","2,473.71","2,670.80","1,887.00",425810,"1,05,33,29,972.35",28542
15-Nov-18,EQ,"2,456.80","2,497.95","2,449.95","2,449.25","2,460.00","2,461.80","2,471.18","2,670.80","1,887.00",498725,"1,23,24,41,411.75",30582
14-Nov-18,EQ,"2,449.90","2,470.00","2,406.80","2,438.05","2,455.00","2,449.25","2,437.75","2,670.80","1,887.00",430253,"1,04,88,47,184.05",24606
13-Nov-18,EQ,"2,416.00","2,451.00","2,415.55","2,415.55","2,440.00","2,438.05","2,435.09","2,670.80","1,887.00",469698,"1,14,37,56,152.70",27437
12-Nov-18,EQ,"2,413.90","2,437.85","2,395.00","2,400.00","2,418.20","2,415.55","2,416.91","2,670.80","1,887.00",487888,"1,17,91,80,715.15",36905
